name,ra,dec,redshift,nH,r500,r500+-,Tx500,Tx500-,Tx500+,Lx500_0.5-2.0,Lx500_0.5-2.0-,Lx500_0.5-2.0+,Lx500_0.01-100.0,Lx500_0.01-100.0-,Lx500_0.01-100.0+,Tx500ce,Tx500ce-,Tx500ce+,Lx500ce_0.5-2.0,Lx500ce_0.5-2.0-,Lx500ce_0.5-2.0+,Lx500ce_0.01-100.0,Lx500ce_0.01-100.0-,Lx500ce_0.01-100.0+,radstep0,radstep1,radstep2,radstep3,radstep4,radstep5,radstep6,radstep7,radstep8,radstep9,radstep10,rad_converged,MEM_MATCH_ID,REFMAG,REFMAG_ERR,ZRED,ZRED_E,ZRED_CHISQ,BCG_SPEC_Z,Z_SPEC_INIT,Z_INIT,Z,LAMBDA_CHISQ,LAMBDA_CHISQ_E,LAMBDA_ZRED,LAMBDA_ZRED_E,R_LAMBDA,SCALEVAL,MASKFRAC,GEOMASKFRAC,CHISQ,Z_LAMBDA,Z_LAMBDA_E,Z_LAMBDA_NITER,EBV_MEAN,LNLAMLIKE,LNBCGLIKE,LNLIKE,NCROSS,RMASK,RA_ORIG,DEC_ORIG,W,DLAMBDA_DZ,DLAMBDA_DZ2,DLAMBDAVAR_DZ,DLAMBDAVAR_DZ2,LAMBDA_CHISQ_C,LAMBDA_CHISQ_CE,NCENT,NCENT_GOOD,Q_MISS,BCG_ILUM,ILUM,Z_LAMBDA_RAW,Z_LAMBDA_E_RAW,LIM_EXPTIME,LIM_LIMMAG_DERED,LIM_LIMMAG,LIM_LIMMAG_HARD,MASKGAL_INDEX
DESY3RM-27,323.831479350347,1.48400164513876,0.22846876,0.0384,1332.4314367009104,81.26670086372249,9.6228852,1.3691001620000005,1.7322264499999989,6.434167899E43,2.7015109512514002E42,2.7868993094074202E42,2.8642909030000005E44,2.2029898068621952E43,2.1889082259847583E43,10.2897375,1.6989292579999995,2.0034892600000003,5.923744129000001E43,2.82388677722014E42,2.78986401534403E42,2.717688969E44,2.328471731976616E43,1.6470368575765711E43,500.0,944.8829170126801,1331.096318726107,1440.7589194694397,1332.43143670091,1332.4314367009101,1332.4314367009104,1332.4314367009104,1332.4314367009104,1332.4314367009104,1332.4314367009104,true,27,17.643797,0.0041188165,0.21244381,0.016494371,15.87866,-1.0,-1.0,0.30238113,0.23744243,5.9536533,2.4257793,9.035158,2.3403757,0.5687962,1.024119,0.020880362,0.0,16.485155,0.22846876,0.004967203,3,0.07088939,288.78375,-25.505548,263.2782,0,0.5478822,323.836424182857,1.44505528387788,1.0181693,8.406679,440.1718,98.45232,3227.6729,5.0592947,0.9507035,5,2,0.18851027,1.0923547,3.6700563,0.22622463,0.0034398623,0.25390407,22.399754,22.399754,23.559084,77
DESY3RM-124,355.920050374072,0.312481674300852,0.27604622,0.0311,1022.475897698899,28.047127124850157,5.647372016,0.2398235470000003,0.2393005809999993,1.5713019320000001E44,1.7553708104326002E42,2.3621193734754102E42,5.4593344300000005E44,1.652206782555471E43,1.1345376151045422E43,5.74603796,0.2507363599999994,0.2515149130000003,1.453094002E44,1.8728956514891602E42,2.1416906506367104E42,5.0898699940000004E44,1.1568267312748102E43,1.2381746743160212E43,500.0,976.7837452591574,1040.1132830413928,1027.535476871623,1022.475897698899,1022.475897698899,1022.475897698899,1022.475897698899,1022.475897698899,1022.475897698899,1022.475897698899,true,124,17.294031,0.0036087518,0.29079828,0.012504349,6.4575114,0.27184615,-1.0,0.31257978,0.2706079,6.4113026,2.8214617,6.3045177,2.260962,0.5772836,1.0171379,0.017746478,0.0,7.6957474,0.27604622,0.0064609307,10,0.027513852,198.38206,-23.685751,174.69632,0,0.56644857,355.946655597329,0.301527526851476,0.90141875,6.511835,-1096.2379,25.17486,-14936.532,6.4113026,0.0,5,1,-1.587308,2.3624258,6.515171,0.27614546,0.0044358573,0.2756293,22.461826,22.461826,23.559084,50
DESY3RM-1882,323.883542721422,-63.1858841832278,0.23307721,0.031,802.8227552422522,221.2423584037312,6.804454814,4.937110518999999,-6.804454814,2.9333200260000004E42,2.9333200260000004E42,7.506477693202E41,1.1022699270000001E43,5.905623029463541E42,7.526019049745961E42,7.099385342,5.455022403999999,-7.099385342,2.1859961800000003E42,2.1859961800000003E42,4.0923835945724E41,8.342475182000001E42,7.24339117574855E42,7.14730082946809E42,500.0,631.3955136291471,539.0403207793797,650.7820487035955,568.5819024372216,817.8557327619822,802.8227552422522,802.8227552422522,802.8227552422522,802.8227552422522,802.8227552422522,true,1882,17.658747,0.0032229503,0.19273956,0.020117024,25.216003,-1.0,-1.0,0.2906286,0.23048873,5.2519245,2.2840986,6.884207,2.1844769,0.55470705,1.0313874,0.031516183,0.0,28.424572,0.23307721,0.00542052,3,0.035673182,85.333885,-46.252865,39.08102,0,0.5178189,323.886558800267,-63.192048254585,1.3564464,9.441612,1178.8314,85.3636,4587.499,5.2519245,0.0,5,1,0.3792108,1.1294602,4.153625,0.23103794,0.003999345,0.3123769,22.55645,22.55645,23.559084,81
DESY3RM-3005,359.789971740121,-60.750088001354,0.11711919,0.012,1005.8962344551745,76.50282943746222,4.903042892,0.7082267060000005,0.9815195149999996,1.8279569040000001E43,8.8195782437356E41,8.1663709256434E41,5.908149223E43,6.732267273629032E42,4.561664469833371E42,4.702863992,0.7394405230000003,0.991960756,1.730160505E43,7.9573511848408E41,7.607474417943901E41,5.483574798000001E43,3.6990615729142506E42,5.72750632265023E42,500.0,1095.3627453033455,866.4671974773652,954.8823446318356,1005.8962344551745,1005.8962344551745,1005.8962344551745,1005.8962344551745,1005.8962344551745,1005.8962344551745,1005.8962344551745,true,3005,16.518303,0.0021218387,0.14897436,0.010327075,0.7811152,-1.0,-1.0,0.16077086,0.12091718,5.2214146,2.6082292,4.93157,1.848621,0.55406106,1.0459784,0.043202765,0.0,7.9566803,0.11711919,0.005704851,2,0.011177481,71.659096,-27.147259,44.511837,0,0.51646316,359.797544674191,-60.7573074525459,1.131569,8.331305,-1484.204,-16.023945,-44775.28,4.334991,1.3704613,5,2,0.58563393,0.7324258,4.169179,0.11563547,0.0035089864,0.21207254,22.263641,22.263641,23.559084,97
DESY3RM-7588,41.9446341945101,-3.40703778567728,0.13498561,0.0302,499.7638041708611,16.79901426693879,1.539440068,0.146215334,0.1294137129999999,2.578091078E42,3.4571651364398002E41,3.2787272761197E41,5.301719439000001E42,1.14348379715112E42,7.867119483678802E41,1.563298941,0.157273977,0.136878112,2.162461785E42,5.372786371732101E41,3.3828713627749E41,4.4699295810000005E42,8.944232967357601E41,7.957433423072101E41,500.0,528.8319499077558,502.16689149353675,525.6009707657928,499.7638041708611,499.7638041708611,499.7638041708611,499.7638041708611,499.7638041708611,499.7638041708611,499.7638041708611,true,7588,15.433387,6.7283533E-4,0.14353175,0.009614435,0.53936,0.13614947,-1.0,0.12922099,0.13129894,18.569517,2.6760063,17.776258,2.361654,0.7141018,1.0451,0.04696861,0.0,1.5296154,0.13498561,0.0054185833,2,0.029440613,48.20604,-7.5314875,40.674553,1,0.9141025,42.0073854229042,-3.36496264480828,1.0878991,9.670753,-521.8149,100.76899,2215.259,18.569517,0.0,5,1,-0.27277604,2.65256,10.662422,0.13282083,0.003760512,0.21108562,22.260115,22.260115,23.559084,49
DESY3RM-7862,16.7603574813219,-0.379999860683843,0.23833096,0.0382,371.51378230035965,33.20266450412806,0.925347527,0.1233470196,0.079209891,5.662581478E42,1.86608551376307E42,1.56617318241449E42,9.431934960000001E42,1.9040813366032603E42,1.9079729350386903E42,0.7995247822,0.0746935129,0.1508199758999999,4.765447916E42,2.30038509251047E42,1.8440737895365303E42,7.607160825000002E42,2.79574334888401E42,2.9926996961286104E42,500.0,510.01372691245814,512.2968429390019,451.6361801373717,391.09371516178845,371.51378230035965,371.51378230035965,371.51378230035965,371.51378230035965,371.51378230035965,371.51378230035965,true,7862,18.020771,0.021026166,0.21487743,0.015105957,11.266629,-1.0,-1.0,0.23487669,0.24321191,5.9841633,2.2695644,6.823187,2.017721,0.569378,1.0278522,0.026301064,0.0,12.461143,0.23833096,0.0070733996,4,0.046841897,47.408848,-12.282218,35.12663,0,0.5491439,16.7377348667093,-0.374552266722902,1.7192234,8.977402,1734.1361,59.780506,2587.9785,5.938263,0.4609044,5,2,0.6134666,0.85357183,4.527265,0.23653889,0.0059951707,0.23381515,22.337435,22.337435,23.559084,5
DESY3RM-9441,306.173484655581,-55.6548788563367,0.21801068,0.0455,614.944419729232,49.5348143641157,2.173099244,0.2674675799999999,0.5184813859999999,7.762480429000001E42,1.7119698623092603E42,1.9298544696083902E42,1.7824896820000002E43,6.13369413450832E42,6.40534855201152E42,2.325974788,0.3224889470000001,0.956480703,5.781738709E42,4.3503964430881805E42,4.2262621302389306E42,1.3585740230000002E43,9.150667550730152E42,1.071293617397591E43,500.0,592.2579082755905,614.9222196923024,615.4255659937461,614.944419729232,614.944419729232,614.944419729232,614.944419729232,614.944419729232,614.944419729232,614.944419729232,true,9441,17.691683,0.0023070807,0.20804599,0.00939348,4.1943593,-1.0,-1.0,0.20804599,0.21534002,8.08935,2.7528985,9.645357,2.451162,0.6047595,1.0163659,0.01866378,0.0,4.7146873,0.21801068,0.0051755845,1,0.05700875,43.613228,-2.263987,41.34924,0,0.6289205,306.173484655581,-55.6548788563367,1.3578908,7.6478724,-1121.5614,79.43346,-9442.21,7.8821626,1.1124929,5,2,0.32443374,0.9365614,5.9738874,0.21535754,0.003866872,0.3197262,22.574032,22.574032,23.559084,97
DESY3RM-13563,10.896056907125,1.01976527285491,0.19313447,0.0169,533.2531968388993,31.91046941141614,2.010648468,0.2594504679999998,0.3210914650000003,6.757289119E42,1.11751239014912E42,7.5771389834714E41,1.5115820420000003E43,2.1362832878690303E42,1.7805016309677303E42,2.200917731,0.2847146420000002,0.5796468629999998,5.3916305790000006E42,9.8247337678596E41,7.3056885187459E41,1.2437618100000002E43,3.18506939166692E42,1.9890626130240004E42,500.0,640.2702848072096,524.5904603685095,591.283224752025,533.2531968388993,533.2531968388993,533.2531968388993,533.2531968388993,533.2531968388993,533.2531968388993,533.2531968388993,true,13563,16.032879,9.094217E-4,0.18863617,0.009711936,0.46998888,0.19570869,0.19570869,0.18863617,0.18964608,19.332266,1.6613628,19.454306,1.8277005,0.7198741,1.003806,0.004062127,0.0,0.21792302,0.19313447,0.005178801,2,0.022180224,36.881615,3.8894973,40.77111,1,0.93081176,10.896056907125,1.01976527285491,1.6703963,5.379869,-218.54657,28.901127,-4242.318,19.399897,0.17504185,5,2,-3.828605,3.269454,16.189613,0.18994488,0.0040279203,0.2896554,22.499353,22.499353,23.559084,43
DESY3RM-13982,33.6694131671545,-6.3103506018419,0.2362817,0.0194,488.2782368444034,31.585680991846818,1.481876505,0.1543453839999999,0.270614935,4.066766768E42,1.3546618209197001E42,1.2614033274284302E42,8.204035331E42,2.88033664480555E42,3.77456999106804E42,1.513618698,0.1849409149999998,0.2677863060000001,3.8228043100000004E42,1.22708883301528E42,1.3030599406746902E42,7.763628461000001E42,2.36430055643506E42,2.7204893897549403E42,500.0,513.886642426626,501.60384672660587,508.3841773100098,488.2782368444034,488.2782368444034,488.2782368444034,488.2782368444034,488.2782368444034,488.2782368444034,488.2782368444034,true,13982,16.51049,0.001519058,0.22975059,0.009387663,4.064386,0.23936003,0.23936003,0.22975059,0.23531854,19.103441,3.693827,17.699984,2.8823712,0.7181618,1.0727723,0.06946766,0.0,3.7989376,0.2362817,0.005689578,1,0.022702252,36.296112,4.5452914,40.841404,1,0.9258377,33.6694131671545,-6.3103506018419,1.4082628,9.001745,871.5574,182.43234,-6109.702,20.073717,0.9684192,5,3,-6.311426,3.3617156,14.468543,0.23439157,0.004308789,0.25918242,22.41531,22.41531,23.559084,52
DESY3RM-15135,322.486295942261,-0.230528844789192,0.12806974,0.0338,515.2850329521891,31.878542700438043,1.465204541,0.1747745740000001,0.153661123,3.038779348E42,2.6152428593521003E41,3.4505083127697005E41,6.153133952000001E42,8.715342525311601E41,7.8270813037973E41,1.453850632,0.1918253969999999,0.1588911129999999,2.926544885E42,2.9011066245583004E41,3.4095259130354E41,5.911981396000001E42,7.576503318552E41,8.2083113476126E41,500.0,524.8755398987751,513.5856038190562,521.3541298941517,515.2850329521891,515.2850329521891,515.2850329521891,515.2850329521891,515.2850329521891,515.2850329521891,515.2850329521891,true,15135,16.113653,0.001063744,0.11841021,0.0109744975,17.152187,0.13475159,0.13307044,0.16702397,0.13461052,19.042421,2.514191,18.325438,2.14398,0.71770245,1.0330987,0.033955857,0.0,17.351206,0.12806974,0.0055106003,3,0.04861362,34.892445,-5.9079423,28.984503,1,0.9245058,322.459419511298,-0.251110813201276,0.8780672,19.431541,2610.7148,47.424637,-2823.8447,19.084978,2.6502516,5,4,0.2980298,1.2735845,9.317905,0.1261576,0.003657119,0.30307117,22.533585,22.533585,23.559084,17
