name,ra,dec,redshift,nH,r500,r500+-,Tx500,Tx500-,Tx500+,Lx500_0.5-2.0,Lx500_0.5-2.0-,Lx500_0.5-2.0+,Lx500_0.01-100.0,Lx500_0.01-100.0-,Lx500_0.01-100.0+,Tx500ce,Tx500ce-,Tx500ce+,Lx500ce_0.5-2.0,Lx500ce_0.5-2.0-,Lx500ce_0.5-2.0+,Lx500ce_0.01-100.0,Lx500ce_0.01-100.0-,Lx500ce_0.01-100.0+
DESY3RM-27,323.831479350347,1.48400164513876,0.22846876,0.0384,1332.4314367009104,81.26670086372249,9.6228852,1.3691001620000005,1.7322264499999989,6.434167899e+43,2.7015109512514002e+42,2.7868993094074202e+42,2.8642909030000005e+44,2.2029898068621952e+43,2.1889082259847583e+43,10.2897375,1.6989292579999995,2.0034892600000003,5.923744129000001e+43,2.82388677722014e+42,2.78986401534403e+42,2.717688969e+44,2.328471731976616e+43,1.6470368575765711e+43
DESY3RM-124,355.920050374072,0.312481674300852,0.27604622,0.0311,1022.475897698899,28.047127124850157,5.647372016,0.2398235470000003,0.2393005809999993,1.5713019320000001e+44,1.7553708104326002e+42,2.3621193734754102e+42,5.4593344300000005e+44,1.652206782555471e+43,1.1345376151045422e+43,5.74603796,0.2507363599999994,0.2515149130000003,1.453094002e+44,1.8728956514891602e+42,2.1416906506367104e+42,5.0898699940000004e+44,1.1568267312748102e+43,1.2381746743160212e+43
DESY3RM-880,36.6607627531203,-41.8262969334665,0.2259729,,,,,,,,,,,,,,,,,,,,,
DESY3RM-1850,83.0355685565286,-37.0149571363532,0.29119852,,,,,,,,,,,,,,,,,,,,,
DESY3RM-1882,323.883542721422,-63.1858841832278,0.23307721,0.031,802.8227552422522,221.2423584037312,6.804454814,4.937110518999999,-6.804454814,2.9333200260000004e+42,2.9333200260000004e+42,7.506477693202e+41,1.1022699270000001e+43,5.905623029463541e+42,7.526019049745961e+42,7.099385342,5.455022403999999,-7.099385342,2.1859961800000003e+42,2.1859961800000003e+42,4.0923835945724e+41,8.342475182000001e+42,7.24339117574855e+42,7.14730082946809e+42
DESY3RM-3005,359.789971740121,-60.750088001354,0.11711919,0.012,1005.8962344551745,76.50282943746222,4.903042892,0.7082267060000005,0.9815195149999996,1.8279569040000001e+43,8.8195782437356e+41,8.1663709256434e+41,5.908149223e+43,6.732267273629032e+42,4.561664469833371e+42,4.702863992,0.7394405230000003,0.991960756,1.730160505e+43,7.9573511848408e+41,7.607474417943901e+41,5.483574798000001e+43,3.6990615729142506e+42,5.72750632265023e+42
DESY3RM-3023,81.4524972979355,-47.1116158399567,0.17435376,,,,,,,,,,,,,,,,,,,,,
DESY3RM-3492,94.1494392228313,-39.9416648440053,0.15498638,,,,,,,,,,,,,,,,,,,,,
DESY3RM-4771,40.7187605743301,-50.5360014526669,0.27141485,0.0234,894.7243822754609,222.60622019087052,2.121778257,0.5287990869999999,2.910811719,2.2949032280000004e+43,3.76995160138462e+42,7.58229827263275e+42,5.211377985e+43,1.191289925071965e+43,1.523188237720656e+43,1.726277676,0.246274045,1.152974947,1.9381636460000004e+43,6.998894434629011e+42,7.96062438896093e+42,4.1245119920000006e+43,1.0712270576862001e+43,1.715051335397054e+43
DESY3RM-5835,41.9555442345886,-3.6123058451022,0.21454494,,,,,,,,,,,,,,,,,,,,,
DESY3RM-7588,41.9446341945101,-3.40703778567728,0.13498561,0.0302,499.7638041708611,16.79901426693879,1.539440068,0.146215334,0.1294137129999999,2.578091078e+42,3.4571651364398002e+41,3.2787272761197e+41,5.301719439000001e+42,1.14348379715112e+42,7.867119483678802e+41,1.563298941,0.157273977,0.136878112,2.162461785e+42,5.372786371732101e+41,3.3828713627749e+41,4.4699295810000005e+42,8.944232967357601e+41,7.957433423072101e+41
DESY3RM-7862,16.7603574813219,-0.379999860683843,0.23833096,0.0382,371.51378230035965,33.20266450412806,0.925347527,0.1233470196,0.079209891,5.662581478e+42,1.86608551376307e+42,1.56617318241449e+42,9.431934960000001e+42,1.9040813366032603e+42,1.9079729350386903e+42,0.7995247822,0.0746935129,0.1508199758999999,4.765447916e+42,2.30038509251047e+42,1.8440737895365303e+42,7.607160825000002e+42,2.79574334888401e+42,2.9926996961286104e+42
DESY3RM-8168,17.1746064740024,-15.5381420981738,0.15955333,,,,,,,,,,,,,,,,,,,,,
DESY3RM-9441,306.173484655581,-55.6548788563367,0.21801068,0.0455,614.944419729232,49.5348143641157,2.173099244,0.2674675799999999,0.5184813859999999,7.762480429000001e+42,1.7119698623092603e+42,1.9298544696083902e+42,1.7824896820000002e+43,6.13369413450832e+42,6.40534855201152e+42,2.325974788,0.3224889470000001,0.956480703,5.781738709e+42,4.3503964430881805e+42,4.2262621302389306e+42,1.3585740230000002e+43,9.150667550730152e+42,1.071293617397591e+43
DESY3RM-9780,28.3290179850577,-1.38599374803919,0.22968322,,,,,,,,,,,,,,,,,,,,,
DESY3RM-10885,47.6964596117072,-9.93507725859964,0.278303,,,,,,,,,,,,,,,,,,,,,
DESY3RM-12810,16.1001251651034,-0.423109638720204,0.27495998,,,,,,,,,,,,,,,,,,,,,
DESY3RM-13563,10.896056907125,1.01976527285491,0.19313447,0.0169,533.2531968388993,31.91046941141614,2.010648468,0.2594504679999998,0.3210914650000003,6.757289119e+42,1.11751239014912e+42,7.5771389834714e+41,1.5115820420000003e+43,2.1362832878690303e+42,1.7805016309677303e+42,2.200917731,0.2847146420000002,0.5796468629999998,5.3916305790000006e+42,9.8247337678596e+41,7.3056885187459e+41,1.2437618100000002e+43,3.18506939166692e+42,1.9890626130240004e+42
DESY3RM-13982,33.6694131671545,-6.3103506018419,0.2362817,0.0194,488.2782368444034,31.585680991846818,1.481876505,0.1543453839999999,0.270614935,4.066766768e+42,1.3546618209197001e+42,1.2614033274284302e+42,8.204035331e+42,2.88033664480555e+42,3.77456999106804e+42,1.513618698,0.1849409149999998,0.2677863060000001,3.8228043100000004e+42,1.22708883301528e+42,1.3030599406746902e+42,7.763628461000001e+42,2.36430055643506e+42,2.7204893897549403e+42
DESY3RM-15135,322.486295942261,-0.230528844789192,0.12806974,0.0338,515.2850329521891,31.878542700438043,1.465204541,0.1747745740000001,0.153661123,3.038779348e+42,2.6152428593521003e+41,3.4505083127697005e+41,6.153133952000001e+42,8.715342525311601e+41,7.8270813037973e+41,1.453850632,0.1918253969999999,0.1588911129999999,2.926544885e+42,2.9011066245583004e+41,3.4095259130354e+41,5.911981396000001e+42,7.576503318552e+41,8.2083113476126e+41
DESY3RM-15769,41.4065352420037,-52.9014789097912,0.29780343,,,,,,,,,,,,,,,,,,,,,
DESY3RM-15788,33.749599714787,-3.9064948741266,0.14753744,0.0203,555.392959244826,31.003357356679302,1.636053231,0.1454767809999999,0.310178061,3.1018727510000004e+42,5.7313702602689e+41,5.6199104872721005e+41,6.508320315e+42,1.64907965791553e+42,1.0607023631138401e+42,1.971713739,0.3675472819999998,0.5880646470000002,2.453875102e+42,2.453875102e+42,3.3920826832543586e+45,5.467655881e+42,5.467655881e+42,9.46162499291271e+45
