+------------------------+-----------+--------------+----------+----------+---------+------------+-------+----------+----------+-------------+--------+----------+----------+--------+---------+---------+--------+----------+----------+---------------+
| Name                   | Obsid     | Mem_Match_ID | RA_RM    | Dec_RM   | lambda  | lambda_err | z     | RA_pk    | Dec_pk   | 500_kpc_SNR | Tr2500 | Tr2500_m | Tr2500_p | Tr500  | Tr500_m | Tr500_p | Lr2500 | Lr2500_m | Lr2500_p | serendipitous |
+------------------------+-----------+--------------+----------+----------+---------+------------+-------+----------+----------+-------------+--------+----------+----------+--------+---------+---------+--------+----------+----------+---------------+
| RMJ0254015.5-585710.65 | 674380301 | 1            | 43.5646  | -58.953  | 221.674 | 5.713      | 0.428 | 43.57    | -58.9499 | 9.865       | 7.91   | 0.18     | 0.181    | 7.373  | 0.188   | 0.188   | 2.998  | 0.019    | 0.02     | 0             |
| RMJ053255.66-370136.08 | 42341801  | 2            | 83.2319  | -37.0267 | 199.432 | 5.879      | 0.287 | 83.2345  | -37.0283 | 50.36       | 7.828  | 0.218    | 0.22     | 7.527  | 0.247   | 0.247   | 4.549  | 0.036    | 0.034    | 0             |
| RMJ230822.21-021131.69 | 205330501 | 3            | 347.0926 | -2.1921  | 163.583 | 4.295      | 0.294 | 347.0926 | -2.1922  | 39.792      | 8.187  | 0.31     | 0.313    | 8.055  | 0.375   | 0.375   | 2.788  | 0.03     | 0.028    | 0             |
| RMJ051637.36-543001.65 | 692934301 | 4            | 79.1557  | -54.5005 | 207.243 | 7.181      | 0.299 | 79.1583  | -54.5145 | 63.349      | 5.936  | 0.114    | 0.115    | 5.758  | 0.113   | 0.113   | 2.12   | 0.012    | 0.013    | 0             |
| RMJ024524.81-530145.39 | 652950301 | 8            | 41.3534  | -53.0293 | 150.571 | 4.141      | 0.3   | 41.3633  | -53.0314 | 57.125      | 8.293  | 0.209    | 0.21     | 8.181  | 0.282   | 0.281   | 4.384  | 0.029    | 0.029    | 0             |
| RMJ213800.28-600747.39 | 674490201 | 10           | 324.5012 | -60.1298 | 152.325 | 4.636      | 0.321 | 324.5062 | -60.1338 | 35.81       | 6.491  | 0.222    | 0.225    | 6.449  | 0.273   | 0.274   | 2.129  | 0.026    | 0.024    | 0             |
| RMJ044647.72-370347.05 | 693661201 | 12           | 71.6988  | -37.0631 | 203.689 | 6.391      | 0.61  | 71.6988  | -37.0631 | 25.416      | 8.803  | 0.361    | 0.439    | 8.465  | 0.343   | 0.518   | 3.442  | 0.043    | 0.044    | 0             |
| RMJ023952.71-013418.77 | 782150101 | 16           | 39.9696  | -1.5719  | 165.521 | 4.712      | 0.373 | 39.9728  | -1.5803  | 81.534      | 8.185  | 0.153    | 0.154    | 6.329  | 0.118   | 0.118   | 2.966  | 0.016    | 0.017    | 0             |
| RMJ001938.65+033557.59 | 693010301 | 17           | 4.9111   | 3.5993   | 139.48  | 4.366      | 0.274 | 4.9091   | 3.6053   | 99.367      | 6.794  | 0.085    | 0.158    | 6.49   | 0.105   | 0.105   | 3.526  | 0.014    | 0.015    | 0             |
| RMJ025421.18-605207.93 | 692900201 | 18           | 43.5883  | -60.8689 | 156.2   | 4.938      | 0.446 | 43.5944  | -60.8685 | 21.776      | 5.879  | 0.536    | 0.595    | 5.366  | 0.461   | 0.679   | 0.758  | 0.022    | 0.023    | 0             |
| RMJ213515.55+012342.53 | 692931301 | 24           | 323.8148 | 1.3951   | 129.077 | 4.764      | 0.238 | 323.8286 | 1.4199   | 57.035      | 9.09   | 0.329    | 0.33     | 8.53   | 0.239   | 0.413   | 2.357  | 0.017    | 0.018    | 0             |
| RMJ233739.73+001617.12 | 42341301  | 25           | 354.4155 | 0.2714   | 134.919 | 4.332      | 0.285 | 354.4078 | 0.2664   | 48.094      | 7.454  | 0.228    | 0.23     | 7.202  | 0.25    | 0.25    | 3.559  | 0.026    | 0.03     | 0             |
| RMJ234444.21-424321.22 | 722700101 | 29           | 356.1842 | -42.7226 | 148.435 | 4.651      | 0.601 | 356.1849 | -42.7215 | 213.98      | 12.43  | 0.076    | 0.076    | 11.779 | 0.087   | 0.086   | 32.066 | 0.048    | 0.042    | 0             |
| RMJ054256.84-355953.50 | 656202001 | 34           | 85.7369  | -35.9982 | 141.982 | 4.979      | 0.413 | 85.7398  | -35.9999 | 29.628      | 6.636  | 0.254    | 0.29     | 6.579  | 0.283   | 0.297   | 2.881  | 0.04     | 0.04     | 0             |
| RMJ024338.87-483338.95 | 723780801 | 37           | 40.912   | -48.5608 | 138.504 | 4.243      | 0.495 | 40.9134  | -48.5619 | 31.163      | 5.824  | 0.168    | 0.169    | 5.737  | 0.204   | 0.206   | 4.416  | 0.041    | 0.044    | 0             |
| RMJ013734.02-125928.97 | 502020101 | 43           | 24.3917  | -12.9914 | 118.947 | 3.971      | 0.216 | 24.3985  | -12.9978 | 58.639      | 4.079  | 0.074    | 0.074    | 4.054  | 0.087   | 0.087   | 0.811  | 0.005    | 0.005    | 0             |
| RMJ202320.87-553549.93 | 692933701 | 45           | 305.837  | -55.5972 | 132.753 | 6.406      | 0.222 | 305.8448 | -55.5967 | 30.838      | 7.822  | 0.404    | 0.406    | 8.29   | 0.554   | 0.671   | 2.231  | 0.027    | 0.033    | 0             |
| RMJ043816.32-541902.97 | 656201601 | 48           | 69.568   | -54.3175 | 131.96  | 4.728      | 0.423 | 69.5745  | -54.3242 | 36.854      | 8.27   | 0.207    | 0.209    | 7.952  | 0.24    | 0.241   | 6.127  | 0.048    | 0.048    | 0             |
| RMJ213539.53-572615.22 | 674490901 | 50           | 323.9147 | -57.4376 | 130.724 | 6.27       | 0.422 | 323.9122 | -57.4403 | 14.153      | 5.12   | 0.497    | 0.69     | 6.026  | 1.142   | 1.283   | 1.936  | 0.063    | 0.077    | 0             |
| RMJ055943.22-524927.09 | 604010301 | 61           | 89.9301  | -52.8242 | 142.455 | 5.142      | 0.608 | 89.9318  | -52.8315 | 23.268      | nan    | nan      | nan      | 6.674  | 0.637   | 0.971   | nan    | nan      | nan      | nan           |
| RMJ215958.67-624513.85 | 724771001 | 64           | 329.9944 | -62.7538 | 117.086 | 4.115      | 0.387 | 330.0124 | -62.7463 | 18.381      | 4.164  | 0.325    | 0.484    | 3.236  | 0.298   | 0.375   | 0.485  | 0.016    | 0.015    | 0             |
| RMJ213104.92-401921.04 | 724770601 | 65           | 322.7705 | -40.3225 | 118.413 | 3.853      | 0.451 | 322.772  | -40.3232 | 39.511      | 6.978  | 0.267    | 0.278    | 7.759  | 0.372   | 0.372   | 5.206  | 0.059    | 0.06     | 0             |
| RMJ013724.97-082722.85 | 700180201 | 67           | 24.3541  | -8.4563  | 139.847 | 5.658      | 0.57  | 24.3561  | -8.4565  | 22.506      | 8.947  | 0.408    | 0.448    | 8.6    | 0.342   | 0.487   | 3.671  | 0.046    | 0.045    | 0             |
| RMJ021714.87-524537.21 | 652951401 | 73           | 34.3119  | -52.7603 | 130.404 | 5.569      | 0.337 | 34.3122  | -52.7617 | 28.358      | 4.604  | 0.351    | 0.343    | 5.044  | 0.387   | 0.388   | 0.763  | 0.019    | 0.017    | 0             |
| RMJ015903.99-341304.29 | 827011301 | 76           | 29.7666  | -34.2179 | 138.031 | 4.824      | 0.405 | 29.7611  | -34.2163 | 67.287      | 7.305  | 0.161    | 0.162    | 7.103  | 0.171   | 0.171   | 3.51   | 0.02     | 0.022    | 0             |
| RMJ004910.93-244042.96 | 723780201 | 84           | 12.2955  | -24.6786 | 111.549 | 5.369      | 0.53  | 12.2978  | -24.6798 | 32.487      | 8.204  | 0.298    | 0.3      | 7.79   | 0.38    | 0.382   | 3.071  | 0.031    | 0.037    | 0             |
| RMJ015241.95+010025.47 | 84230401  | 86           | 28.1748  | 1.0071   | 105.233 | 3.908      | 0.231 | 28.1772  | 1.0101   | 64.292      | 5.951  | 0.122    | 0.123    | 5.826  | 0.151   | 0.151   | 2.639  | 0.016    | 0.015    | 0             |
| RMJ025630.85+000603.50 | 801610101 | 90           | 44.1285  | 0.101    | 104.73  | 5.035      | 0.371 | 44.1427  | 0.1056   | 80.893      | 5.111  | 0.07     | 0.071    | 5.001  | 0.081   | 0.081   | 1.95   | 0.011    | 0.011    | 0             |
| RMJ234347.52+001524.22 | 211280101 | 99           | 355.948  | 0.2567   | 99.223  | 6.199      | 0.273 | 355.9169 | 0.2984   | 45.994      | 5.664  | 0.247    | 0.244    | 5.554  | 0.244   | 0.24    | 0.722  | 0.007    | 0.008    | 0             |
| RMJ024122.94-283848.92 | 762800601 | 104          | 40.3456  | -28.6469 | 111.335 | 5.253      | 0.241 | 40.3461  | -28.6611 | 39.247      | 6.214  | 0.231    | 0.235    | 5.696  | 0.263   | 0.263   | 1.438  | 0.016    | 0.017    | 0             |
| RMJ214551.98-564453.15 | 674491301 | 113          | 326.4666 | -56.7481 | 123.036 | 5.225      | 0.478 | 326.4682 | -56.7499 | 20.315      | 6.61   | 0.369    | 0.414    | 6.698  | 0.436   | 0.499   | 2.641  | 0.055    | 0.058    | 0             |
| RMJ023450.77-583046.74 | 674491001 | 115          | 38.7115  | -58.513  | 110.008 | 4.014      | 0.404 | 38.6768  | -58.5245 | 38.648      | 5.4    | 0.133    | 0.193    | 5.536  | 0.192   | 0.223   | 4.546  | 0.05     | 0.048    | 0             |
| RMJ051017.51-451918.28 | 692933001 | 117          | 77.573   | -45.3217 | 100.733 | 4.887      | 0.207 | 77.5698  | -45.321  | 67.468      | 5.952  | 0.134    | 0.135    | 6.074  | 0.154   | 0.154   | 2.402  | 0.017    | 0.015    | 0             |
| RMJ022558.04-415255.40 | 803550101 | 130          | 36.4918  | -41.8821 | 105.126 | 4.506      | 0.231 | 36.4705  | -41.9182 | 128.795     | 5.111  | 0.042    | 0.043    | 5.303  | 0.048   | 0.049   | 2.381  | 0.007    | 0.007    | 0             |
| RMJ014656.02-092952.03 | 673750101 | 150          | 26.7334  | -9.4978  | 105.218 | 4.482      | 0.424 | 26.7353  | -9.4995  | 29.901      | 5.074  | 0.226    | 0.23     | 5.233  | 0.262   | 0.293   | 1.203  | 0.02     | 0.021    | 0             |
| RMJ041723.08-474847.54 | 700182401 | 151          | 64.3462  | -47.8132 | 111.671 | 4.474      | 0.592 | 64.348   | -47.8146 | 40.869      | 6.629  | 0.181    | 0.184    | 7.134  | 0.337   | 0.352   | 5.723  | 0.057    | 0.067    | 0             |
| RMJ0034057.8+023331.90 | 650380601 | 166          | 8.7408   | 2.5589   | 98.78   | 3.808      | 0.384 | 8.7379   | 2.5648   | 27.298      | 5.896  | 0.295    | 0.299    | 6.271  | 0.37    | 0.372   | 2.695  | 0.045    | 0.044    | 0             |
| RMJ024808.33-021637.17 | 721890401 | 184          | 42.0347  | -2.277   | 92.999  | 4.102      | 0.237 | 42.0512  | -2.2761  | 62.91       | 7.693  | 0.194    | 0.195    | 7.909  | 0.251   | 0.25    | 2.924  | 0.02     | 0.018    | 0             |
| RMJ052945.67-314625.70 | 650381301 | 187          | 82.4403  | -31.7738 | 92.663  | 4.291      | 0.351 | 82.4407  | -31.7552 | 32.619      | 6.199  | 0.264    | 0.267    | 6.209  | 0.316   | 0.319   | 2.881  | 0.04     | 0.041    | 0             |
| RMJ022145.74-034618.82 | 604280101 | 188          | 35.4406  | -3.7719  | 88.163  | 3.343      | 0.428 | 35.4439  | -3.7706  | 48.21       | 4.658  | 0.229    | 0.232    | 4.712  | 0.266   | 0.269   | 0.43   | 0.007    | 0.006    | 1             |
